i,j,k,a,b,c,val
2,4,3,1,4,3,-0.7861513777574235 + 1.7456067208541654e-16im
2,4,3,2,1,3,0.9999999999999999 + 7.39557098644698e-32im
2,4,3,2,2,2,1.272019649514069 + 1.5678852690227843e-32im
2,4,3,2,3,1,-0.7861513777574232 + 8.091332133585902e-17im
2,4,3,2,3,3,0.6180339887498938 - 1.5843448587791682e-16im
2,4,3,2,4,1,0.9999999999999994 - 6.861555643110572e-17im
2,4,3,2,4,3,0.4858682717566443 - 2.1576885689562456e-16im
2,4,3,3,1,2,-0.7861513777574233 + 2.6971107111953008e-17im
2,4,3,3,1,3,0.6180339887498938 + 1.160277398465071e-16im
2,4,3,3,2,1,-1.2720196495140685 + 4.3640168021354e-17im
2,4,3,3,3,3,0.9999999999999994 - 6.861555643110572e-17im
2,4,3,3,4,2,-1.0 + 3.430777821555288e-17im
2,4,3,3,4,3,-0.4858682717566454 + 1.6669060909400964e-17im
2,4,3,4,1,2,0.9999999999999994 + 0.0im
2,4,3,4,1,3,0.48586827175664427 + 0.0im
2,4,3,4,2,3,-0.7861513777574234 + 1.7456067208541654e-16im
2,4,3,4,3,1,-1.0 + 1.0292333464665863e-16im
2,4,3,4,3,3,-0.4858682717566454 + 2.3243791780502477e-16im
2,4,3,4,4,1,-0.7861513777574219 - 1.2061845786150996e-16im
2,4,3,4,4,2,-0.7861513777574219 + 1.745606720854159e-16im
2,4,3,4,4,3,0.23606797749978947 - 1.0483524159878373e-16im
2,4,4,1,1,1,1.0 + 2.465190328815659e-32im
2,4,4,1,2,1,-0.7861513777574223 + 1.745606720854166e-16im
2,4,4,1,3,4,0.9999999999999999 + 2.46519032881566e-32im
2,4,4,1,5,2,-1.2720196495140685 + 4.364016802135394e-17im
2,4,4,1,6,3,1.272019649514069 + 0.0im
2,4,4,1,7,4,-0.7861513777574223 + 1.7456067208541654e-16im
2,4,4,2,1,2,1.0 - 1.2325951644078301e-32im
2,4,4,2,2,3,-0.7861513777574239 + 2.6971107111952977e-17im
2,4,4,2,2,4,-0.618033988749894 + 1.3723111286221198e-16im
2,4,4,2,3,2,-0.7861513777574223 - 1.745606720854166e-16im
2,4,4,2,4,1,0.6180339887498952 + 0.0im
2,4,4,2,4,4,0.7861513777574228 + 0.0im
2,4,4,2,5,1,0.4858682717566451 - 1.2455348935721305e-16im
2,4,4,2,5,3,0.7861513777574228 - 5.394221422390598e-17im
2,4,4,2,5,4,-0.3819660112501049 + 1.3104405199847974e-17im
2,4,4,2,6,1,-0.7861513777574232 - 2.6971107111953008e-17im
2,4,4,2,6,4,0.6180339887498938 - 1.1602773984650711e-16im
2,4,4,2,7,1,-0.6180339887498938 + 1.3723111286221149e-16im
2,4,4,2,7,3,0.6180339887498938 - 1.5843448587791682e-16im
2,4,4,2,7,4,-0.30028310600077707 + 6.667624363760411e-17im
2,4,4,3,1,3,0.9999999999999999 - 2.46519032881566e-32im
2,4,4,3,2,2,-0.7861513777574233 + 2.6971107111953008e-17im
2,4,4,3,2,4,0.6180339887498938 + 1.160277398465071e-16im
2,4,4,3,3,3,-0.7861513777574234 + 1.7456067208541661e-16im
2,4,4,3,4,1,-0.6180339887498955 + 2.1203373015704897e-17im
2,4,4,3,4,4,-0.7861513777574233 + 2.6971107111953024e-17im
2,4,4,3,5,1,0.7861513777574238 - 5.3942214223906035e-17im
2,4,4,3,5,4,-0.6180339887498938 - 9.482436683080176e-17im
2,4,4,3,6,1,-0.48586827175664526 - 1.0788442844781214e-16im
2,4,4,3,6,2,0.7861513777574235 - 2.854003112706532e-32im
2,4,4,3,6,4,0.3819660112501051 - 9.522321324660056e-33im
2,4,4,3,7,1,0.6180339887498941 + 1.160277398465067e-16im
2,4,4,3,7,2,0.6180339887498945 + 1.1602773984650655e-16im
2,4,4,3,7,4,0.30028310600077707 + 5.637419743505186e-17im
2,4,4,4,1,4,0.9999999999999999 + 2.4651903288156597e-32im
2,4,4,4,2,2,-0.6180339887498938 + 1.3723111286221149e-16im
2,4,4,4,2,3,0.6180339887498938 + 1.160277398465071e-16im
2,4,4,4,2,4,-0.30028310600077707 + 6.667624363760339e-17im
2,4,4,4,3,1,0.9999999999999994 + 0.0im
2,4,4,4,3,4,0.48586827175664515 + 1.7246737959250638e-31im
2,4,4,4,4,1,-0.48586827175664565 + 1.0788442844781203e-16im
2,4,4,4,4,4,-0.6180339887498938 + 1.3723111286221149e-16im
2,4,4,4,5,1,-0.38196601125010454 + 1.8273138932548743e-16im
2,4,4,4,5,3,0.9999999999999994 - 6.861555643110572e-17im
2,4,4,4,5,4,0.3002831060007767 - 7.697828984015585e-17im
2,4,4,4,6,1,-0.3819660112501045 - 1.3104405199848087e-17im
2,4,4,4,6,2,-1.0 - 3.430777821555289e-17im
2,4,4,4,6,4,0.30028310600077707 - 5.637419743505186e-17im
2,4,4,4,7,1,-0.3002831060007766 + 6.667624363760406e-17im
