i,j,k,a,b,c,val
4,4,2,2,1,1,0.0 - 1.0606601717798199im
4,4,2,2,1,3,-0.612372435695794 - 0.0im
4,4,2,2,3,1,0.612372435695794 + 0.0im
4,4,2,2,3,3,-0.0 + 1.0606601717798199im
4,4,2,3,1,2,0.0 - 1.0606601717798199im
4,4,2,3,2,1,0.612372435695794 + 0.0im
4,4,2,3,2,3,0.0 - 1.0606601717798199im
4,4,2,3,3,2,-0.612372435695794 - 0.0im
4,4,2,4,1,2,0.0 - 1.0606601717798199im
4,4,2,4,2,1,-0.612372435695794 - 0.0im
4,4,2,4,2,3,-0.0 + 1.0606601717798199im
4,4,2,4,3,2,-0.612372435695794 - 0.0im
4,4,2,5,1,1,0.612372435695794 + 0.0im
4,4,2,5,1,3,-0.0 + 1.0606601717798199im
4,4,2,5,3,1,0.0 - 1.0606601717798199im
4,4,2,5,3,3,-0.612372435695794 - 0.0im
4,4,2,6,1,2,0.612372435695794 + 0.0im
4,4,2,6,2,1,0.0 - 1.0606601717798199im
4,4,2,6,2,3,0.612372435695794 + 0.0im
4,4,2,6,3,2,-0.0 + 1.0606601717798199im
4,4,2,7,1,1,0.5 + 0.0im
4,4,2,7,1,3,-0.0 - 0.8660254037844382im
4,4,2,7,2,2,-1.0 + 0.0im
4,4,2,7,3,1,-0.0 - 0.8660254037844382im
4,4,2,7,3,3,0.5 + 0.0im
4,4,2,8,1,1,1.0 + 0.0im
4,4,2,8,2,2,1.0 + 0.0im
4,4,2,8,3,3,1.0 + 0.0im
4,4,2,9,1,1,0.5 + 0.0im
4,4,2,9,1,3,0.0 + 0.8660254037844392im
4,4,2,9,2,2,-1.0 + 0.0im
4,4,2,9,3,1,0.0 + 0.8660254037844392im
4,4,2,9,3,3,0.5 + 0.0im
4,4,3,1,1,2,0.612372435695794 + 0.0im
4,4,3,1,2,1,0.0 - 1.0606601717798199im
4,4,3,1,2,3,-0.612372435695794 - 0.0im
4,4,3,1,3,2,0.0 - 1.0606601717798199im
4,4,3,2,1,1,0.0 + 1.0606601717798199im
4,4,3,2,1,3,-0.612372435695794 - 0.0im
4,4,3,2,3,1,0.612372435695794 + 0.0im
4,4,3,2,3,3,0.0 - 1.0606601717798199im
4,4,3,3,1,2,0.0 + 1.0606601717798199im
4,4,3,3,2,1,0.612372435695794 + 0.0im
4,4,3,3,2,3,0.0 + 1.0606601717798199im
4,4,3,3,3,2,-0.612372435695794 - 0.0im
4,4,3,4,1,2,0.0 + 1.0606601717798199im
4,4,3,4,2,1,-0.612372435695794 - 0.0im
4,4,3,4,2,3,0.0 - 1.0606601717798199im
4,4,3,4,3,2,-0.612372435695794 - 0.0im
4,4,3,5,1,1,0.612372435695794 + 0.0im
4,4,3,5,1,3,0.0 - 1.0606601717798199im
4,4,3,5,3,1,0.0 + 1.0606601717798199im
4,4,3,5,3,3,-0.612372435695794 - 0.0im
4,4,3,6,1,2,0.612372435695794 + 0.0im
4,4,3,6,2,1,0.0 + 1.0606601717798199im
4,4,3,6,2,3,0.612372435695794 + 0.0im
4,4,3,6,3,2,0.0 - 1.0606601717798199im
4,4,3,7,1,1,0.4999999999999995 + 0.0im
4,4,3,7,1,3,-0.0 - 0.8660254037844373im
4,4,3,7,2,2,-0.999999999999999 + 0.0im
4,4,3,7,3,1,-0.0 - 0.8660254037844373im
4,4,3,7,3,3,0.4999999999999995 + 0.0im
4,4,3,8,1,1,1.0 + 0.0im
4,4,3,8,2,2,1.0 + 0.0im
4,4,3,8,3,3,1.0 + 0.0im
4,4,3,9,1,1,0.5 + 0.0im
4,4,3,9,1,3,0.0 + 0.8660254037844392im
4,4,3,9,2,2,-1.0 + 0.0im
4,4,3,9,3,1,0.0 + 0.8660254037844392im
4,4,3,9,3,3,0.5 + 0.0im
4,4,4,1,1,2,-0.6123724356957929 + 0.0im
4,4,4,1,1,7,0.0 - 0.4330127018922194im
4,4,4,1,1,9,-0.0 + 0.4330127018922194im
4,4,4,1,2,3,0.6123724356957929 + 0.0im
4,4,4,1,2,4,0.6123724356957929 + 0.0im
4,4,4,1,3,5,0.6123724356957929 + 0.0im
4,4,4,1,3,7,-0.2500000000000001 + 0.0im
4,4,4,1,3,8,0.9999999999999989 + 0.0im
4,4,4,1,3,9,-0.2500000000000001 + 0.0im
4,4,4,1,4,5,0.6123724356957929 + 0.0im
4,4,4,1,4,7,0.7499999999999999 + 0.0im
4,4,4,1,4,9,0.7499999999999999 + 0.0im
4,4,4,1,5,1,-0.6123724356957929 - 0.0im
4,4,4,1,5,6,-0.6123724356957929 - 0.0im
4,4,4,1,6,2,-0.6123724356957929 - 0.0im
4,4,4,1,6,7,-0.0 - 0.4330127018922194im
4,4,4,1,6,9,0.0 + 0.4330127018922194im
4,4,4,1,7,1,-0.2499999999999995 - 0.0im
4,4,4,1,7,3,0.0 + 0.4330127018922182im
4,4,4,1,7,4,-0.0 + 0.4330127018922191im
4,4,4,1,7,6,0.7499999999999991 + 0.0im
4,4,4,1,8,1,0.999999999999999 + 0.0im
4,4,4,1,9,1,-0.25 - 0.0im
4,4,4,1,9,3,0.0 - 0.4330127018922196im
4,4,4,1,9,4,0.0 - 0.4330127018922191im
4,4,4,1,9,6,0.7499999999999999 + 0.0im
4,4,4,2,1,3,0.6123724356957929 + 0.0im
4,4,4,2,1,4,-0.6123724356957929 + 0.0im
4,4,4,2,2,7,-0.5000000000000002 + 0.0im
4,4,4,2,2,8,-0.9999999999999989 + 0.0im
4,4,4,2,2,9,-0.5000000000000002 + 0.0im
4,4,4,2,3,1,-0.6123724356957929 + 0.0im
4,4,4,2,3,6,0.6123724356957929 + 0.0im
4,4,4,2,4,1,0.6123724356957929 + 0.0im
4,4,4,2,4,6,-0.6123724356957929 - 0.0im
4,4,4,2,5,7,-0.0 - 0.8660254037844388im
4,4,4,2,5,9,0.0 + 0.8660254037844388im
4,4,4,2,6,3,-0.6123724356957929 - 0.0im
4,4,4,2,6,4,0.6123724356957929 + 0.0im
4,4,4,2,7,2,0.499999999999999 + 0.0im
4,4,4,2,7,5,0.0 - 0.8660254037844382im
4,4,4,2,8,2,0.999999999999999 + 0.0im
4,4,4,2,9,2,0.5 + 0.0im
4,4,4,2,9,5,0.0 + 0.8660254037844382im
4,4,4,3,1,5,-0.6123724356957929 + 0.0im
4,4,4,3,1,7,-0.2500000000000001 + 0.0im
4,4,4,3,1,8,0.9999999999999989 + 0.0im
4,4,4,3,1,9,-0.2500000000000001 + 0.0im
4,4,4,3,2,1,-0.6123724356957929 + 0.0im
4,4,4,3,2,6,-0.6123724356957929 + 0.0im
4,4,4,3,3,2,0.6123724356957929 + 0.0im
4,4,4,3,3,7,0.0 - 0.4330127018922194im
4,4,4,3,3,9,-0.0 + 0.4330127018922194im
4,4,4,3,4,2,0.6123724356957929 + 0.0im
4,4,4,3,4,7,-0.0 - 0.4330127018922194im
4,4,4,3,4,9,0.0 + 0.4330127018922194im
4,4,4,3,5,3,0.6123724356957929 + 0.0im
4,4,4,3,5,4,0.6123724356957929 + 0.0im
4,4,4,3,6,5,-0.6123724356957929 - 0.0im
4,4,4,3,6,7,0.7499999999999999 + 0.0im
4,4,4,3,6,9,0.7499999999999999 + 0.0im
4,4,4,3,7,1,0.0 + 0.4330127018922182im
4,4,4,3,7,3,-0.2499999999999995 - 0.0im
4,4,4,3,7,4,0.7499999999999991 + 0.0im
4,4,4,3,7,6,-0.0 + 0.4330127018922191im
4,4,4,3,8,3,0.999999999999999 + 0.0im
4,4,4,3,9,1,0.0 - 0.4330127018922196im
4,4,4,3,9,3,-0.25 - 0.0im
4,4,4,3,9,4,0.7499999999999999 + 0.0im
4,4,4,3,9,6,0.0 - 0.4330127018922191im
4,4,4,4,1,5,0.6123724356957929 + 0.0im
4,4,4,4,1,7,-0.7499999999999999 - 0.0im
4,4,4,4,1,9,-0.7499999999999999 - 0.0im
4,4,4,4,2,1,-0.6123724356957929 - 0.0im
4,4,4,4,2,6,-0.6123724356957929 - 0.0im
4,4,4,4,3,2,-0.6123724356957929 - 0.0im
